"","angstrom","value"
"1",3500,0.085714
"2",3505,0.087081
"3",3510,0.088245
"4",3515,0.089201
"5",3520,0.089943
"6",3525,0.090465
"7",3530,0.090764
"8",3535,0.090833
"9",3540,0.090667
"10",3545,0.090262
"11",3550,0.08961
"12",3555,0.088721
"13",3560,0.087654
"14",3565,0.08648
"15",3570,0.085271
"16",3575,0.084101
"17",3580,0.083039
"18",3585,0.08216
"19",3590,0.081534
"20",3595,0.081234
"21",3600,0.081331
"22",3605,0.09068
"23",3610,0.09367
"24",3615,0.092147
"25",3620,0.090094
"26",3625,0.091069
"27",3630,0.095592
"28",3635,0.100867
"29",3640,0.103801
"30",3645,0.103886
"31",3650,0.103533
"32",3655,0.105593
"33",3660,0.110106
"34",3665,0.113987
"35",3670,0.114025
"36",3675,0.110189
"37",3680,0.106199
"38",3685,0.106663
"39",3690,0.11282
"40",3695,0.120843
"41",3700,0.14338
"42",3705,0.137484
"43",3710,0.119457
"44",3715,0.099841
"45",3720,0.088891
"46",3725,0.089259
"47",3730,0.095949
"48",3735,0.101496
"49",3740,0.101685
"50",3745,0.097871
"51",3750,0.094548
"52",3755,0.095266
"53",3760,0.100558
"54",3765,0.108608
"55",3770,0.11704
"56",3775,0.124184
"57",3780,0.129217
"58",3785,0.132093
"59",3790,0.133623
"60",3795,0.135256
"61",3800,0.137929
"62",3805,0.140545
"63",3810,0.139668
"64",3815,0.131697
"65",3820,0.116192
"66",3825,0.097742
"67",3830,0.084149
"68",3835,0.081621
"69",3840,0.090408
"70",3845,0.104141
"71",3850,0.1146
"72",3855,0.117358
"73",3860,0.114509
"74",3865,0.112617
"75",3870,0.116868
"76",3875,0.126651
"77",3880,0.136167
"78",3885,0.139228
"79",3890,0.134264
"80",3895,0.125882
"81",3900,0.121497
"82",3905,0.125231
"83",3910,0.134818
"84",3915,0.143135
"85",3920,0.143317
"86",3925,0.134131
"87",3930,0.121414
"88",3935,0.113967
"89",3940,0.117114
"90",3945,0.128934
"91",3950,0.141505
"92",3955,0.146541
"93",3960,0.142024
"94",3965,0.134458
"95",3970,0.134389
"96",3975,0.148772
"97",3980,0.175702
"98",3985,0.205194
"99",3990,0.225985
"100",3995,0.233603
"101",4000,0.232782
"102",4005,0.232762
"103",4010,0.239728
"104",4015,0.251825
"105",4020,0.260731
"106",4025,0.259506
"107",4030,0.248644
"108",4035,0.236232
"109",4040,0.232178
"110",4045,0.240536
"111",4050,0.256148
"112",4055,0.268616
"113",4060,0.270071
"114",4065,0.260686
"115",4070,0.248538
