"","angstrom","value"
"1",3500,0.081553
"2",3505,0.082907
"3",3510,0.084218
"4",3515,0.085455
"5",3520,0.086584
"6",3525,0.087575
"7",3530,0.088395
"8",3535,0.089012
"9",3540,0.089393
"10",3545,0.089506
"11",3550,0.08932
"12",3555,0.088821
"13",3560,0.088069
"14",3565,0.087145
"15",3570,0.086128
"16",3575,0.085097
"17",3580,0.084132
"18",3585,0.083313
"19",3590,0.082719
"20",3595,0.082429
"21",3600,0.082524
"22",3605,0.08306
"23",3610,0.084001
"24",3615,0.085288
"25",3620,0.086862
"26",3625,0.087444
"27",3630,0.087606
"28",3635,0.095303
"29",3640,0.103368
"30",3645,0.106098
"31",3650,0.103262
"32",3655,0.099384
"33",3660,0.099004
"34",3665,0.102743
"35",3670,0.107679
"36",3675,0.11073
"37",3680,0.111388
"38",3685,0.11156
"39",3690,0.112911
"40",3695,0.114569
"41",3700,0.128412
"42",3705,0.117491
"43",3710,0.098479
"44",3715,0.080761
"45",3720,0.072934
"46",3725,0.076607
"47",3730,0.087108
"48",3735,0.097858
"49",3740,0.104365
"50",3745,0.105323
"51",3750,0.101072
"52",3755,0.093454
"53",3760,0.086579
"54",3765,0.085996
"55",3770,0.095408
"56",3775,0.112687
"57",3780,0.129207
"58",3785,0.136016
"59",3790,0.130929
"60",3795,0.12074
"61",3800,0.116223
"62",3805,0.122999
"63",3810,0.135756
"64",3815,0.142347
"65",3820,0.134025
"66",3825,0.112504
"67",3830,0.089123
"68",3835,0.076833
"69",3840,0.080673
"70",3845,0.095224
"71",3850,0.109839
"72",3855,0.116546
"73",3860,0.114472
"74",3865,0.108598
"75",3870,0.105208
"76",3875,0.107358
"77",3880,0.114291
"78",3885,0.123356
"79",3890,0.132207
"80",3895,0.139712
"81",3900,0.145364
"82",3905,0.148688
"83",3910,0.149165
"84",3915,0.146606
"85",3920,0.141577
"86",3925,0.135368
"87",3930,0.12933
"88",3935,0.124258
"89",3940,0.120157
"90",3945,0.116601
"91",3950,0.113462
"92",3955,0.111461
"93",3960,0.112107
"94",3965,0.117301
"95",3970,0.127818
"96",3975,0.143025
"97",3980,0.16092
"98",3985,0.178504
"99",3990,0.193399
"100",3995,0.204499
"101",4000,0.212615
"102",4005,0.219694
"103",4010,0.227231
"104",4015,0.234748
"105",4020,0.239249
"106",4025,0.237491
"107",4030,0.228599
"108",4035,0.216383
"109",4040,0.208191
"110",4045,0.210277
"111",4050,0.223249
"112",4055,0.240119
"113",4060,0.250479
"114",4065,0.247476
"115",4070,0.232602
"116",4075,0.21518
"117",4080,0.206511
"118",4085,0.212011
"119",4090,0.228502
"120",4095,0.247417
"121",4100,0.260754
"122",4105,0.265529
"123",4110,0.26376
"124",4115,0.259283
"125",4120,0.254128
"126",4125,0.248332
"127",4130,0.241705
"128",4135,0.235341
"129",4140,0.231654
"130",4145,0.23256
"131",4150,0.237887
"132",4155,0.245663
"133",4160,0.253413
"134",4165,0.259139
"135",4170,0.261455
"136",4175,0.259812
"137",4180,0.25463
"138",4185,0.248049
"139",4190,0.243825
"140",4195,0.245234
"141",4200,0.251692
"142",4205,0.257599
"143",4210,0.255027
"144",4215,0.239094
"145",4220,0.212258
"146",4225,0.184263
"147",4230,0.166804
"148",4235,0.166113
"149",4240,0.179927
"150",4245,0.199796
"151",4250,0.216797
"152",4255,0.226796
"153",4260,0.231384
"154",4265,0.234437
"155",4270,0.238561
"156",4275,0.243868
"157",4280,0.24908
"158",4285,0.253329
"159",4290,0.256656
"160",4295,0.259121
"161",4300,0.260489
"162",4305,0.260729
"163",4310,0.261146
"164",4315,0.264769
"165",4320,0.274466
"166",4325,0.290693
"167",4330,0.311049
"168",4335,0.331967
"169",4340,0.350858
"170",4345,0.366825
"171",4350,0.379194
"172",4355,0.385911
"173",4360,0.38409
"174",4365,0.372553
"175",4370,0.354178
"176",4375,0.335748
"177",4380,0.324418
"178",4385,0.323382
"179",4390,0.330659
"180",4395,0.341222
"181",4400,0.350863
"182",4405,0.358847
"183",4410,0.366892
"184",4415,0.376798
"185",4420,0.388695
"186",4425,0.401196
"187",4430,0.412601
"188",4435,0.421858
"189",4440,0.428613
"190",4445,0.433118
"191",4450,0.436541
"192",4455,0.441285
"193",4460,0.449936
"194",4465,0.463098
"195",4470,0.47821
"196",4475,0.490968
"197",4480,0.498921
"198",4485,0.504288
"199",4490,0.512646
"200",4495,0.527822
"201",4500,0.547131
"202",4505,0.561645
"203",4510,0.56288
"204",4515,0.55038
"205",4520,0.53344
"206",4525,0.52513
"207",4530,0.532661
"208",4535,0.551167
"209",4540,0.568321
"210",4545,0.57445
"211",4550,0.570593
"212",4555,0.568476
"213",4560,0.581044
"214",4565,0.611459
"215",4570,0.649619
"216",4575,0.678683
"217",4580,0.685907
"218",4585,0.67071
"219",4590,0.644938
"220",4595,0.62461
"221",4600,0.620731
"222",4605,0.634632
"223",4610,0.658736
"224",4615,0.681334
"225",4620,0.692631
"226",4625,0.688839
"227",4630,0.673639
"228",4635,0.656403
"229",4640,0.647505
"230",4645,0.652482
"231",4650,0.66794
"232",4655,0.682842
"233",4660,0.686088
"234",4665,0.674283
"235",4670,0.654793
"236",4675,0.641474
"237",4680,0.644327
"238",4685,0.661881
"239",4690,0.683013
"240",4695,0.695799
"241",4700,0.696359
"242",4705,0.691062
"243",4710,0.689621
"244",4715,0.69564
"245",4720,0.704031
"246",4725,0.706751
"247",4730,0.701187
"248",4735,0.693862
"249",4740,0.694767
"250",4745,0.706197
"251",4750,0.717886
"252",4755,0.71251
"253",4760,0.677965
"254",4765,0.618144
"255",4770,0.553271
"256",4775,0.508324
"257",4780,0.498208
"258",4785,0.520361
"259",4790,0.558092
"260",4795,0.591475
"261",4800,0.608509
"262",4805,0.609685
"263",4810,0.603503
"264",4815,0.59862
"265",4820,0.598231
"266",4825,0.599562
"267",4830,0.598064
"268",4835,0.593129
"269",4840,0.589267
"270",4845,0.592839
"271",4850,0.606959
"272",4855,0.628181
"273",4860,0.647992
"274",4865,0.658704
"275",4870,0.658307
"276",4875,0.651411
"277",4880,0.645941
"278",4885,0.648065
"279",4890,0.659298
"280",4895,0.677371
"281",4900,0.698972
"282",4905,0.721192
"283",4910,0.7416
"284",4915,0.75823
"285",4920,0.770655
"286",4925,0.781189
"287",4930,0.794052
"288",4935,0.811317
"289",4940,0.828584
"290",4945,0.834499
"291",4950,0.816773
"292",4955,0.772061
"293",4960,0.71132
"294",4965,0.655587
"295",4970,0.624839
"296",4975,0.626527
"297",4980,0.651164
"298",4985,0.679115
"299",4990,0.692783
"300",4995,0.685391
"301",5000,0.662256
"302",5005,0.635298
"303",5010,0.615238
"304",5015,0.606992
"305",5020,0.610214
"306",5025,0.621729
"307",5030,0.637696
"308",5035,0.654632
"309",5040,0.669546
"310",5045,0.68009
"311",5050,0.685074
"312",5055,0.684898
"313",5060,0.681201
"314",5065,0.676031
"315",5070,0.671486
"316",5075,0.66932
"317",5080,0.670667
"318",5085,0.675142
"319",5090,0.680462
"320",5095,0.683362
"321",5100,0.681663
"322",5105,0.676965
"323",5110,0.674272
"324",5115,0.678484
"325",5120,0.690091
"326",5125,0.703383
"327",5130,0.709789
"328",5135,0.704983
"329",5140,0.692947
"330",5145,0.683079
"331",5150,0.681942
"332",5155,0.685895
"333",5160,0.682085
"334",5165,0.658664
"335",5170,0.616462
"336",5175,0.571493
"337",5180,0.545335
"338",5185,0.549614
"339",5190,0.576834
"340",5195,0.606315
"341",5200,0.62181
"342",5205,0.624548
"343",5210,0.632522
"344",5215,0.666141
"345",5220,0.729702
"346",5225,0.805694
"347",5230,0.86706
"348",5235,0.895132
"349",5240,0.890401
"350",5245,0.86954
"351",5250,0.851052
"352",5255,0.842007
"353",5260,0.838314
"354",5265,0.833614
"355",5270,0.82789
"356",5275,0.82869
"357",5280,0.843391
"358",5285,0.870975
"359",5290,0.901958
"360",5295,0.925688
"361",5300,0.937892
"362",5305,0.942437
"363",5310,0.945858
"364",5315,0.949963
"365",5320,0.951407
"366",5325,0.94718
"367",5330,0.939965
"368",5335,0.937975
"369",5340,0.94785
"370",5345,0.967068
"371",5350,0.985188
"372",5355,0.992763
"373",5360,0.990202
"374",5365,0.989197
"375",5370,1.003805
"376",5375,1.037272
"377",5380,1.077821
"378",5385,1.106989
"379",5390,1.112888
"380",5395,1.098907
"381",5400,1.081192
"382",5405,1.074922
"383",5410,1.084034
"384",5415,1.100825
