"","angstrom","value"
"1",3500,5.248097
"2",3505,5.249017
"3",3510,5.233984
"4",3515,5.204985
"5",3520,5.214263
"6",3525,5.208269
"7",3530,5.149981
"8",3535,5.128026
"9",3540,5.099576
"10",3545,5.08209
"11",3550,5.046709
"12",3555,4.99007
"13",3560,4.95885
"14",3565,4.903082
"15",3570,4.837192
"16",3575,4.791422
"17",3580,4.746284
"18",3585,4.706326
"19",3590,4.672889
"20",3595,4.675636
"21",3600,4.654701
"22",3605,4.602899
"23",3610,4.722
"24",3615,4.73193
"25",3620,4.721232
"26",3625,4.660798
"27",3630,4.594349
"28",3635,4.563799
"29",3640,4.582631
"30",3645,4.663242
"31",3650,4.68943
"32",3655,4.670171
"33",3660,4.652092
"34",3665,4.56878
"35",3670,4.571796
"36",3675,4.571488
"37",3680,4.525952
"38",3685,4.515226
"39",3690,4.476038
"40",3695,4.438798
"41",3700,4.379843
"42",3705,4.25041
"43",3710,4.252867
"44",3715,4.279961
"45",3720,4.24453
"46",3725,4.256682
"47",3730,4.236881
"48",3735,4.17747
"49",3740,4.328621
"50",3745,4.23458
"51",3750,3.971226
"52",3755,3.975804
"53",3760,4.094583
"54",3765,4.066711
"55",3770,3.847046
"56",3775,4.069523
"57",3780,4.367551
"58",3785,4.464131
"59",3790,4.308129
"60",3795,3.924467
"61",3800,3.910245
"62",3805,4.28958
"63",3810,4.485993
"64",3815,4.402803
"65",3820,4.297223
"66",3825,4.337879
"67",3830,4.030602
"68",3835,3.690389
"69",3840,3.998755
"70",3845,4.262897
"71",3850,4.29722
"72",3855,4.29421
"73",3860,4.249512
"74",3865,4.215694
"75",3870,4.180891
"76",3875,4.114959
"77",3880,3.930176
"78",3885,3.529706
"79",3890,3.391948
"80",3895,3.820857
"81",3900,4.052138
"82",3905,4.082934
"83",3910,4.024302
"84",3915,3.970863
"85",3920,3.894236
"86",3925,3.868313
"87",3930,3.804325
"88",3935,3.80034
"89",3940,3.912069
"90",3945,3.940056
"91",3950,3.879068
"92",3955,3.796173
"93",3960,3.619074
"94",3965,3.205872
"95",3970,2.939538
"96",3975,3.347288
"97",3980,3.604418
"98",3985,3.666036
"99",3990,3.680474
"100",3995,3.650365
"101",4000,3.609957
"102",4005,3.566877
"103",4010,3.547344
"104",4015,3.524203
"105",4020,3.422527
"106",4025,3.254195
"107",4030,3.349139
"108",4035,3.466274
"109",4040,3.478661
"110",4045,3.471686
"111",4050,3.47906
"112",4055,3.446397
"113",4060,3.409473
"114",4065,3.358595
"115",4070,3.257103
"116",4075,3.275728
"117",4080,3.280984
"118",4085,3.21701
"119",4090,3.143388
"120",4095,2.922381
"121",4100,2.580167
"122",4105,2.725138
"123",4110,3.047139
"124",4115,3.096366
"125",4120,3.09711
"126",4125,3.154619
"127",4130,3.169036
"128",4135,3.144145
"129",4140,3.08057
"130",4145,3.031252
"131",4150,3.052255
"132",4155,3.056781
"133",4160,3.062844
"134",4165,3.044852
"135",4170,3.013366
"136",4175,3.003065
"137",4180,2.987261
"138",4185,2.933322
"139",4190,2.903896
"140",4195,2.857404
"141",4200,2.791508
"142",4205,2.861176
"143",4210,2.903151
"144",4215,2.889888
"145",4220,2.882129
"146",4225,2.872687
"147",4230,2.861209
"148",4235,2.845856
"149",4240,2.844592
"150",4245,2.819978
"151",4250,2.787873
"152",4255,2.77526
"153",4260,2.758334
"154",4265,2.759374
"155",4270,2.747196
"156",4275,2.726089
"157",4280,2.729475
"158",4285,2.732354
"159",4290,2.729307
"160",4295,2.729086
"161",4300,2.721085
"162",4305,2.695602
"163",4310,2.689441
"164",4315,2.665627
"165",4320,2.647453
"166",4325,2.630283
"167",4330,2.555856
"168",4335,2.337124
"169",4340,2.078351
"170",4345,2.239759
"171",4350,2.464085
"172",4355,2.561625
"173",4360,2.590703
"174",4365,2.562072
"175",4370,2.551378
"176",4375,2.538481
"177",4380,2.50984
