"","angstrom","value"
"1",3500,0.044192
"2",3505,0.04561
"3",3510,0.035061
"4",3515,0.03552
"5",3520,0.036309
"6",3525,0.040557
"7",3530,0.048629
"8",3535,0.055905
"9",3540,0.058482
"10",3545,0.056355
"11",3550,0.05369
"12",3555,0.05173
"13",3560,0.047798
"14",3565,0.042398
"15",3570,0.036482
"16",3575,0.03059
"17",3580,0.027619
"18",3585,0.02886
"19",3590,0.03422
"20",3595,0.041126
"21",3600,0.044211
"22",3605,0.042876
"23",3610,0.043644
"24",3615,0.048779
"25",3620,0.054536
"26",3625,0.059187
"27",3630,0.061145
"28",3635,0.063
"29",3640,0.064223
"30",3645,0.062941
"31",3650,0.0662
"32",3655,0.075527
"33",3660,0.082316
"34",3665,0.082196
"35",3670,0.078825
"36",3675,0.074613
"37",3680,0.070706
"38",3685,0.070891
"39",3690,0.076247
"40",3695,0.081138
"41",3700,0.079697
"42",3705,0.072867
"43",3710,0.067858
"44",3715,0.064134
"45",3720,0.057765
"46",3725,0.052612
"47",3730,0.047624
"48",3735,0.043355
"49",3740,0.042339
"50",3745,0.043117
"51",3750,0.04671
"52",3755,0.051934
"53",3760,0.057227
"54",3765,0.0648
"55",3770,0.073839
"56",3775,0.080617
"57",3780,0.08159
"58",3785,0.074965
"59",3790,0.067847
"60",3795,0.067609
"61",3800,0.070496
"62",3805,0.053101
"63",3810,0.068295
"64",3815,0.061883
"65",3820,0.053408
"66",3825,0.045281
"67",3830,0.037275
"68",3835,0.040554
"69",3840,0.05382
"70",3845,0.055888
"71",3850,0.049761
"72",3855,0.045904
"73",3860,0.045904
"74",3865,0.048207
"75",3870,0.053346
"76",3875,0.056096
"77",3880,0.050696
"78",3885,0.053835
"79",3890,0.065289
"80",3895,0.069798
"81",3900,0.070572
"82",3905,0.076915
"83",3910,0.079782
"84",3915,0.081283
"85",3920,0.071128
"86",3925,0.051602
"87",3930,0.04365
"88",3935,0.034765
"89",3940,0.041783
"90",3945,0.061053
"91",3950,0.074347
"92",3955,0.07204
"93",3960,0.062831
"94",3965,0.055946
"95",3970,0.05334
"96",3975,0.071098
"97",3980,0.09614
"98",3985,0.115878
"99",3990,0.136013
"100",3995,0.140748
"101",4000,0.147981
"102",4005,0.161638
"103",4010,0.177131
"104",4015,0.185652
"105",4020,0.181182
"106",4025,0.172273
"107",4030,0.160803
"108",4035,0.156947
"109",4040,0.160191
"110",4045,0.1644
"111",4050,0.170063
"112",4055,0.17341
"113",4060,0.173544
"114",4065,0.165184
"115",4070,0.163843
"116",4075,0.180529
"117",4080,0.200151
"118",4085,0.219319
"119",4090,0.225424
"120",4095,0.212014
"121",4100,0.19795
"122",4105,0.197666
"123",4110,0.200285
"124",4115,0.199462
"125",4120,0.197529
"126",4125,0.192029
"127",4130,0.178899
"128",4135,0.171105
