"","angstrom","value"
"1",3500,0.747612
"2",3505,0.748997
"3",3510,0.781551
"4",3515,0.771053
"5",3520,0.766869
"6",3525,0.770538
"7",3530,0.788552
"8",3535,0.812351
"9",3540,0.825816
"10",3545,0.842279
"11",3550,0.835919
"12",3555,0.815267
"13",3560,0.797229
"14",3565,0.764033
"15",3570,0.741669
"16",3575,0.748998
"17",3580,0.741392
"18",3585,0.74493
"19",3590,0.788188
"20",3595,0.822183
"21",3600,0.81085
"22",3605,0.785994
"23",3610,0.801662
"24",3615,0.800946
"25",3620,0.818149
"26",3625,0.841253
"27",3630,0.83422
"28",3635,0.842363
"29",3640,0.844903
"30",3645,0.843046
"31",3650,0.87422
"32",3655,0.907612
"33",3660,0.917853
"34",3665,0.914509
"35",3670,0.898458
"36",3675,0.885157
"37",3680,0.87248
"38",3685,0.881965
"39",3690,0.911643
"40",3695,0.913872
"41",3700,0.890788
"42",3705,0.868077
"43",3710,0.88565
"44",3715,0.915369
"45",3720,0.896309
"46",3725,0.899085
"47",3730,0.877468
"48",3735,0.844542
"49",3740,0.879813
"50",3745,0.860164
"51",3750,0.851832
"52",3755,0.921603
"53",3760,0.965337
"54",3765,0.934377
"55",3770,0.911748
"56",3775,0.998549
"57",3780,1.096184
"58",3785,1.087206
"59",3790,1.01032
"60",3795,0.932279
"61",3800,0.954186
"62",3805,1.060609
"63",3810,1.101424
"64",3815,1.073042
"65",3820,1.031524
"66",3825,0.947459
"67",3830,0.826176
"68",3835,0.774626
"69",3840,0.905265
"70",3845,1.072122
"71",3850,1.143949
"72",3855,1.146134
"73",3860,1.14966
"74",3865,1.174512
"75",3870,1.148046
"76",3875,1.105018
"77",3880,1.028873
"78",3885,0.922567
"79",3890,0.898149
"80",3895,0.986612
"81",3900,1.06051
"82",3905,1.097454
"83",3910,1.132222
"84",3915,1.125091
"85",3920,1.061905
"86",3925,0.899411
"87",3930,0.676372
"88",3935,0.656489
"89",3940,0.884429
"90",3945,1.051995
"91",3950,1.105044
"92",3955,1.083402
"93",3960,0.932167
"94",3965,0.716794
"95",3970,0.693389
"96",3975,0.91318
"97",3980,1.088421
"98",3985,1.165662
"99",3990,1.210503
"100",3995,1.221789
"101",4000,1.222847
"102",4005,1.233756
"103",4010,1.250756
"104",4015,1.258182
"105",4020,1.262285
"106",4025,1.254386
"107",4030,1.240675
"108",4035,1.2486
"109",4040,1.246353
"110",4045,1.246697
"111",4050,1.245063
"112",4055,1.240156
"113",4060,1.224036
"114",4065,1.214796
"115",4070,1.211516
"116",4075,1.199536
"117",4080,1.207811
"118",4085,1.211388
"119",4090,1.179034
"120",4095,1.075648
"121",4100,0.979289
"122",4105,1.029331
"123",4110,1.151216
"124",4115,1.212575
"125",4120,1.234277
"126",4125,1.234559
"127",4130,1.238057
"128",4135,1.253611
"129",4140,1.258441
"130",4145,1.254184
"131",4150,1.251455
"132",4155,1.247186
"133",4160,1.251138
"134",4165,1.25686
"135",4170,1.226277
"136",4175,1.217329
"137",4180,1.221324
"138",4185,1.224509
"139",4190,1.237287
"140",4195,1.233743
"141",4200,1.217979
"142",4205,1.231652
"143",4210,1.245508
"144",4215,1.229297
"145",4220,1.206232
"146",4225,1.194724
"147",4230,1.192904
"148",4235,1.216656
"149",4240,1.221653
"150",4245,1.212281
"151",4250,1.206666
"152",4255,1.213644
"153",4260,1.220255
"154",4265,1.215032
"155",4270,1.195181
"156",4275,1.186401
"157",4280,1.195024
"158",4285,1.172486
"159",4290,1.145685
"160",4295,1.110629
"161",4300,1.064775
"162",4305,1.044936
"163",4310,1.075779
"164",4315,1.142028
"165",4320,1.166696
"166",4325,1.162732
"167",4330,1.135666
"168",4335,1.034437
"169",4340,0.961845
"170",4345,1.024139
"171",4350,1.119146
"172",4355,1.179733
"173",4360,1.221102
"174",4365,1.234274
"175",4370,1.223457
"176",4375,1.209404
"177",4380,1.196224
"178",4385,1.186339
"179",4390,1.206012
"180",4395,1.215114
"181",4400,1.207435
"182",4405,1.209433
"183",4410,1.224159
"184",4415,1.22838
"185",4420,1.236935
"186",4425,1.244551
"187",4430,1.236478
"188",4435,1.237539
"189",4440,1.23455
"190",4445,1.225516
"191",4450,1.210517
"192",4455,1.204961
"193",4460,1.208812
"194",4465,1.216314
"195",4470,1.219359
"196",4475,1.231652
"197",4480,1.226423
"198",4485,1.222713
"199",4490,1.227824
"200",4495,1.234687
"201",4500,1.246378
"202",4505,1.254057
