"","angstrom","value"
"1",3500,0.554331
"2",3505,0.553271
"3",3510,0.577339
"4",3515,0.579014
"5",3520,0.566024
"6",3525,0.56213
"7",3530,0.591292
"8",3535,0.626228
"9",3540,0.643521
"10",3545,0.646274
"11",3550,0.634661
"12",3555,0.608602
"13",3560,0.584012
"14",3565,0.536939
"15",3570,0.515013
"16",3575,0.526811
"17",3580,0.521045
"18",3585,0.516976
"19",3590,0.565018
"20",3595,0.603706
"21",3600,0.597914
"22",3605,0.566107
"23",3610,0.566996
"24",3615,0.568706
"25",3620,0.583097
"26",3625,0.633838
"27",3630,0.613884
"28",3635,0.606953
"29",3640,0.63698
"30",3645,0.617263
"31",3650,0.627932
"32",3655,0.680784
"33",3660,0.717012
"34",3665,0.701565
"35",3670,0.692314
"36",3675,0.686803
"37",3680,0.662771
"38",3685,0.661975
"39",3690,0.689829
"40",3695,0.718857
"41",3700,0.723214
"42",3705,0.672713
"43",3710,0.68825
"44",3715,0.732584
"45",3720,0.679724
"46",3725,0.674544
"47",3730,0.661969
"48",3735,0.602242
"49",3740,0.646301
"50",3745,0.628082
"51",3750,0.623771
"52",3755,0.716058
"53",3760,0.7193
"54",3765,0.717144
"55",3770,0.717783
"56",3775,0.787291
"57",3780,0.85433
"58",3785,0.843596
"59",3790,0.765863
"60",3795,0.694768
"61",3800,0.721845
"62",3805,0.822972
"63",3810,0.857953
"64",3815,0.80269
"65",3820,0.740273
"66",3825,0.67844
"67",3830,0.589696
"68",3835,0.521043
"69",3840,0.606032
"70",3845,0.760115
"71",3850,0.836693
"72",3855,0.832899
"73",3860,0.825707
"74",3865,0.867604
"75",3870,0.851218
"76",3875,0.813822
"77",3880,0.773394
"78",3885,0.69836
"79",3890,0.684631
"80",3895,0.780113
"81",3900,0.83046
"82",3905,0.844228
"83",3910,0.88222
"84",3915,0.880803
"85",3920,0.816285
"86",3925,0.667003
"87",3930,0.443982
"88",3935,0.393876
"89",3940,0.578458
"90",3945,0.748842
"91",3950,0.849408
"92",3955,0.851578
"93",3960,0.725667
"94",3965,0.509111
"95",3970,0.462072
"96",3975,0.677963
"97",3980,0.883132
"98",3985,0.980715
"99",3990,1.02573
"100",3995,1.040842
"101",4000,1.054291
"102",4005,1.055336
"103",4010,1.071316
"104",4015,1.080283
"105",4020,1.086606
"106",4025,1.090832
"107",4030,1.064076
"108",4035,1.071775
"109",4040,1.078861
"110",4045,1.042236
"111",4050,1.055034
"112",4055,1.035736
"113",4060,1.012804
"114",4065,1.004972
"115",4070,1.012871
"116",4075,1.003239
"117",4080,1.016249
"118",4085,1.052922
"119",4090,1.056513
"120",4095,0.974097
"121",4100,0.862338
"122",4105,0.906955
"123",4110,1.016501
"124",4115,1.066035
"125",4120,1.065643
