"","angstrom","value"
"1",3500,0.245741
"2",3505,0.258718
"3",3510,0.265626
"4",3515,0.258457
"5",3520,0.247328
"6",3525,0.244775
"7",3530,0.254903
"8",3535,0.275747
"9",3540,0.289504
"10",3545,0.280304
"11",3550,0.255847
"12",3555,0.228389
"13",3560,0.204854
"14",3565,0.188844
"15",3570,0.176017
"16",3575,0.163202
"17",3580,0.159861
"18",3585,0.174834
"19",3590,0.201845
"20",3595,0.230623
"21",3600,0.250045
"22",3605,0.253509
"23",3610,0.253372
"24",3615,0.263022
"25",3620,0.281029
"26",3625,0.300606
"27",3630,0.30836
"28",3635,0.29694
"29",3640,0.289773
"30",3645,0.309285
"31",3650,0.343101
"32",3655,0.372542
"33",3660,0.388481
"34",3665,0.38635
"35",3670,0.37024
"36",3675,0.347732
"37",3680,0.331706
"38",3685,0.331796
"39",3690,0.339368
"40",3695,0.343209
"41",3700,0.340092
"42",3705,0.330327
"43",3710,0.320404
"44",3715,0.314539
"45",3720,0.301672
"46",3725,0.272817
"47",3730,0.242567
"48",3735,0.227739
"49",3740,0.310373
"50",3745,0.326167
"51",3750,0.261214
"52",3755,0.269487
"53",3760,0.315873
"54",3765,0.350565
"55",3770,0.377436
"56",3775,0.379403
"57",3780,0.350362
"58",3785,0.390447
"59",3790,0.372035
"60",3795,0.358421
"61",3800,0.35768
"62",3805,0.333277
"63",3810,0.321927
"64",3815,0.295753
"65",3820,0.253832
"66",3825,0.237203
"67",3830,0.243618
"68",3835,0.258618
"69",3840,0.285162
"70",3845,0.294508
"71",3850,0.282707
"72",3855,0.275578
"73",3860,0.273398
"74",3865,0.281481
"75",3870,0.313261
"76",3875,0.316251
"77",3880,0.27586
"78",3885,0.275041
"79",3890,0.318426
"80",3895,0.350736
"81",3900,0.369394
"82",3905,0.388682
"83",3910,0.383903
"84",3915,0.378213
"85",3920,0.344928
"86",3925,0.280946
"87",3930,0.248351
"88",3935,0.222187
"89",3940,0.237615
"90",3945,0.284787
"91",3950,0.320518
"92",3955,0.328025
"93",3960,0.316567
"94",3965,0.277716
"95",3970,0.28486
"96",3975,0.341209
"97",3980,0.408103
"98",3985,0.468329
"99",3990,0.512769
"100",3995,0.52255
"101",4000,0.535817
"102",4005,0.548148
"103",4010,0.563311
"104",4015,0.589319
"105",4020,0.608908
"106",4025,0.61676
"107",4030,0.601659
"108",4035,0.575149
"109",4040,0.557948
"110",4045,0.563168
"111",4050,0.579299
"112",4055,0.573767
"113",4060,0.569136
"114",4065,0.554912
"115",4070,0.544145
"116",4075,0.56466
"117",4080,0.601696
"118",4085,0.620097
"119",4090,0.614408
"120",4095,0.602182
"121",4100,0.599229
"122",4105,0.60171
"123",4110,0.597901
"124",4115,0.595321
"125",4120,0.588778
"126",4125,0.602251
"127",4130,0.602872
"128",4135,0.572573
"129",4140,0.560333
