"","angstrom","value"
"1",3500,0.668235
"2",3505,0.667494
"3",3510,0.657154
"4",3515,0.662628
"5",3520,0.648958
"6",3525,0.647457
"7",3530,0.674729
"8",3535,0.701328
"9",3540,0.712507
"10",3545,0.715412
"11",3550,0.706718
"12",3555,0.684754
"13",3560,0.666578
"14",3565,0.627903
"15",3570,0.615112
"16",3575,0.625315
"17",3580,0.612332
"18",3585,0.605004
"19",3590,0.649755
"20",3595,0.68276
"21",3600,0.675986
"22",3605,0.648294
"23",3610,0.634107
"24",3615,0.640673
"25",3620,0.654816
"26",3625,0.699973
"27",3630,0.674826
"28",3635,0.670492
"29",3640,0.696933
"30",3645,0.674696
"31",3650,0.681912
"32",3655,0.723831
"33",3660,0.755456
"34",3665,0.741799
"35",3670,0.73523
"36",3675,0.72908
"37",3680,0.705934
"38",3685,0.709941
"39",3690,0.738533
"40",3695,0.76166
"41",3700,0.764783
"42",3705,0.723616
"43",3710,0.744907
"44",3715,0.784061
"45",3720,0.735217
"46",3725,0.7401
"47",3730,0.728101
"48",3735,0.677785
"49",3740,0.731365
"50",3745,0.705184
"51",3750,0.699447
"52",3755,0.794429
"53",3760,0.792166
"54",3765,0.775987
"55",3770,0.769249
"56",3775,0.849116
"57",3780,0.922484
"58",3785,0.912147
"59",3790,0.830071
"60",3795,0.752418
"61",3800,0.782707
"62",3805,0.889083
"63",3810,0.932997
"64",3815,0.894415
"65",3820,0.846802
"66",3825,0.767141
"67",3830,0.672511
"68",3835,0.621487
"69",3840,0.713738
"70",3845,0.856994
"71",3850,0.920923
"72",3855,0.922043
"73",3860,0.919806
"74",3865,0.950811
"75",3870,0.919853
"76",3875,0.880024
"77",3880,0.825107
"78",3885,0.73537
"79",3890,0.72181
"80",3895,0.824164
"81",3900,0.88191
"82",3905,0.879928
"83",3910,0.90823
"84",3915,0.907956
"85",3920,0.860803
"86",3925,0.749364
"87",3930,0.579468
"88",3935,0.544553
"89",3940,0.677512
"90",3945,0.789724
"91",3950,0.847835
"92",3955,0.845909
"93",3960,0.758848
"94",3965,0.603141
"95",3970,0.569927
"96",3975,0.72219
"97",3980,0.870179
"98",3985,0.954189
"99",3990,1.00543
"100",3995,1.024387
"101",4000,1.035331
"102",4005,1.040246
"103",4010,1.061669
"104",4015,1.086109
"105",4020,1.10816
"106",4025,1.118475
"107",4030,1.100152
"108",4035,1.09818
"109",4040,1.096819
"110",4045,1.076418
"111",4050,1.088596
"112",4055,1.075663
"113",4060,1.05567
"114",4065,1.041129
"115",4070,1.039462
"116",4075,1.037406
"117",4080,1.053639
"118",4085,1.075246
"119",4090,1.062176
"120",4095,0.984902
"121",4100,0.89498
"122",4105,0.924948
"123",4110,1.00821
"124",4115,1.05937
"125",4120,1.081892
"126",4125,1.098362
"127",4130,1.095124
"128",4135,1.099191
"129",4140,1.102793
"130",4145,1.094187
"131",4150,1.096743
"132",4155,1.099096
"133",4160,1.122796
"134",4165,1.129975
"135",4170,1.095121
"136",4175,1.074103
"137",4180,1.0831
"138",4185,1.084931
"139",4190,1.091676
"140",4195,1.083649
"141",4200,1.073173
"142",4205,1.089459
"143",4210,1.106687
"144",4215,1.107701
"145",4220,1.098766
"146",4225,1.061256
"147",4230,1.074697
"148",4235,1.078464
"149",4240,1.08453
"150",4245,1.084253
"151",4250,1.08266
"152",4255,1.090116
"153",4260,1.082882
"154",4265,1.087083
"155",4270,1.064932
"156",4275,1.068594
"157",4280,1.081316
"158",4285,1.058659
"159",4290,1.027576
"160",4295,0.99537
"161",4300,0.941764
"162",4305,0.922943
"163",4310,0.946302
"164",4315,1.017387
"165",4320,1.051299
"166",4325,1.032402
"167",4330,1.025102
"168",4335,0.963565
"169",4340,0.889755
"170",4345,0.947353
"171",4350,1.016818
"172",4355,1.06731
"173",4360,1.110858
"174",4365,1.131568
"175",4370,1.119734
"176",4375,1.107608
"177",4380,1.087821
"178",4385,1.066207
"179",4390,1.085445
"180",4395,1.101573
"181",4400,1.107157
"182",4405,1.109326
"183",4410,1.129053
"184",4415,1.139182
"185",4420,1.148057
"186",4425,1.149975
"187",4430,1.147808
"188",4435,1.143193
"189",4440,1.147403
"190",4445,1.142599
"191",4450,1.136191
"192",4455,1.115054
"193",4460,1.116967
"194",4465,1.138605
"195",4470,1.163248
"196",4475,1.182002
"197",4480,1.166181
"198",4485,1.171534
"199",4490,1.172666
"200",4495,1.190254
"201",4500,1.216795
"202",4505,1.237755
"203",4510,1.234551
"204",4515,1.208209
"205",4520,1.175057
"206",4525,1.144755
"207",4530,1.132607
"208",4535,1.158102
"209",4540,1.185344
"210",4545,1.175633
"211",4550,1.152457
"212",4555,1.159883
"213",4560,1.17597
"214",4565,1.17668
"215",4570,1.18985
"216",4575,1.193876
"217",4580,1.17904
"218",4585,1.178446
"219",4590,1.183793
"220",4595,1.185496
"221",4600,1.180284
"222",4605,1.185407
"223",4610,1.184558
"224",4615,1.176768
"225",4620,1.183587
"226",4625,1.189613
"227",4630,1.181147
"228",4635,1.174749
"229",4640,1.168546
"230",4645,1.164165
"231",4650,1.165697
"232",4655,1.173803
"233",4660,1.182516
"234",4665,1.161413
"235",4670,1.158
"236",4675,1.168165
"237",4680,1.174533
"238",4685,1.186579
"239",4690,1.191569
"240",4695,1.189061
"241",4700,1.165225
"242",4705,1.153487
"243",4710,1.154479
"244",4715,1.163772
"245",4720,1.173094
"246",4725,1.172465
"247",4730,1.166357
"248",4735,1.170101
"249",4740,1.183328
"250",4745,1.19086
"251",4750,1.179076
"252",4755,1.161421
"253",4760,1.158929
"254",4765,1.153679
"255",4770,1.163296
"256",4775,1.174966
"257",4780,1.172799
"258",4785,1.156692
"259",4790,1.155401
"260",4795,1.160461
"261",4800,1.153796
"262",4805,1.15413
"263",4810,1.164795
"264",4815,1.166605
"265",4820,1.15634
"266",4825,1.148424
"267",4830,1.141679
"268",4835,1.141489
"269",4840,1.134888
"270",4845,1.118132
"271",4850,1.098608
"272",4855,1.053773
"273",4860,0.987659
"274",4865,0.951117
"275",4870,0.967907
"276",4875,1.029109
"277",4880,1.063219
"278",4885,1.094503
"279",4890,1.110393
"280",4895,1.109833
"281",4900,1.120045
"282",4905,1.132897
"283",4910,1.129142
"284",4915,1.12534
"285",4920,1.119168
"286",4925,1.11971
"287",4930,1.121181
"288",4935,1.140703
"289",4940,1.132585
"290",4945,1.124693
"291",4950,1.129036
"292",4955,1.126276
"293",4960,1.120851
"294",4965,1.114863
"295",4970,1.128765
"296",4975,1.12719
"297",4980,1.112815
"298",4985,1.10528
"299",4990,1.087533
"300",4995,1.089395
"301",5000,1.096077
"302",5005,1.081919
"303",5010,1.070603
"304",5015,1.056872
"305",5020,1.055611
"306",5025,1.052614
"307",5030,1.069072
"308",5035,1.077697
"309",5040,1.083731
"310",5045,1.07699
"311",5050,1.073934
"312",5055,1.088845
"313",5060,1.09174
"314",5065,1.103723
"315",5070,1.101869
"316",5075,1.08319
"317",5080,1.075182
"318",5085,1.064895
"319",5090,1.063868
"320",5095,1.077854
"321",5100,1.086616
"322",5105,1.075133
"323",5110,1.074686
"324",5115,1.076503
"325",5120,1.077106
"326",5125,1.074969
"327",5130,1.063132
"328",5135,1.046719
"329",5140,1.044607
"330",5145,1.040388
"331",5150,1.036392
"332",5155,1.035036
"333",5160,1.034574
"334",5165,1.026326
"335",5170,1.004218
"336",5175,0.980422
"337",5180,0.985568
"338",5185,1.004428
"339",5190,0.994647
"340",5195,1.007888
"341",5200,1.017602
"342",5205,1.022232
"343",5210,1.030953
"344",5215,1.028823
"345",5220,1.03928
"346",5225,1.035302
"347",5230,1.02398
"348",5235,1.012678
"349",5240,1.017914
"350",5245,1.032533
"351",5250,1.045916
"352",5255,1.047223
"353",5260,1.045812
"354",5265,1.027418
"355",5270,0.995049
"356",5275,0.983937
"357",5280,0.998293
"358",5285,1.017742
"359",5290,1.029991
"360",5295,1.042661
"361",5300,1.047998
"362",5305,1.036338
"363",5310,1.039672
"364",5315,1.047252
"365",5320,1.038462
"366",5325,1.024397
"367",5330,1.003305
"368",5335,0.993365
"369",5340,1.006771
"370",5345,1.015868
"371",5350,1.024121
"372",5355,1.029418
"373",5360,1.034248
"374",5365,1.036931
"375",5370,1.025681
"376",5375,1.017171
"377",5380,1.022093
"378",5385,1.023518
"379",5390,1.016014
"380",5395,1.013263
"381",5400,1.010364
"382",5405,1.007603
"383",5410,1.003979
"384",5415,1.0001
"385",5420,1.001322
"386",5425,1.005723
"387",5430,1.005743
"388",5435,1.004017
"389",5440,1.009945
