"","angstrom","value"
"1",3500,0.566243
"2",3505,0.562473
"3",3510,0.550226
"4",3515,0.545287
"5",3520,0.535304
"6",3525,0.522843
"7",3530,0.543638
"8",3535,0.586575
"9",3540,0.614641
"10",3545,0.626584
"11",3550,0.625169
"12",3555,0.606857
"13",3560,0.580591
"14",3565,0.53608
"15",3570,0.49696
"16",3575,0.475582
"17",3580,0.456078
"18",3585,0.453508
"19",3590,0.492522
"20",3595,0.547192
"21",3600,0.577409
"22",3605,0.561002
"23",3610,0.512542
"24",3615,0.504827
"25",3620,0.516511
"26",3625,0.552844
"27",3630,0.577685
"28",3635,0.575792
"29",3640,0.572596
"30",3645,0.551983
"31",3650,0.560435
"32",3655,0.611283
"33",3660,0.656797
"34",3665,0.656811
"35",3670,0.644785
"36",3675,0.643295
"37",3680,0.637533
"38",3685,0.622196
"39",3690,0.644432
"40",3695,0.667004
"41",3700,0.686087
"42",3705,0.653566
"43",3710,0.633307
"44",3715,0.638959
"45",3720,0.611603
"46",3725,0.611413
"47",3730,0.602271
"48",3735,0.547349
"49",3740,0.547253
"50",3745,0.534767
"51",3750,0.524267
"52",3755,0.588313
"53",3760,0.6173
"54",3765,0.631105
"55",3770,0.659589
"56",3775,0.709897
"57",3780,0.771081
"58",3785,0.739835
"59",3790,0.656713
"60",3795,0.620783
"61",3800,0.637744
"62",3805,0.695407
"63",3810,0.710171
"64",3815,0.64803
"65",3820,0.564733
"66",3825,0.496412
"67",3830,0.442178
"68",3835,0.434818
"69",3840,0.494127
"70",3845,0.592699
"71",3850,0.633458
"72",3855,0.603321
"73",3860,0.578552
"74",3865,0.601467
"75",3870,0.597828
"76",3875,0.58635
"77",3880,0.572999
"78",3885,0.583876
"79",3890,0.59743
"80",3895,0.64186
"81",3900,0.679654
"82",3905,0.694266
"83",3910,0.723518
"84",3915,0.720687
"85",3920,0.654618
"86",3925,0.518018
"87",3930,0.34816
"88",3935,0.308565
"89",3940,0.444473
"90",3945,0.598574
"91",3950,0.688542
"92",3955,0.701235
"93",3960,0.601473
"94",3965,0.411755
"95",3970,0.353028
"96",3975,0.537837
"97",3980,0.742018
"98",3985,0.833899
"99",3990,0.862014
"100",3995,0.879537
"101",4000,0.891567
"102",4005,0.896948
"103",4010,0.916321
"104",4015,0.934237
"105",4020,0.935996
"106",4025,0.933301
"107",4030,0.915335
"108",4035,0.923285
"109",4040,0.93564
"110",4045,0.907577
"111",4050,0.905561
"112",4055,0.897246
"113",4060,0.896556
"114",4065,0.889714
"115",4070,0.897395
"116",4075,0.89481
"117",4080,0.90327
"118",4085,0.954738
"119",4090,0.98016
"120",4095,0.92344
"121",4100,0.838816
"122",4105,0.85608
"123",4110,0.93431
"124",4115,0.971726
"125",4120,0.967655
"126",4125,0.951315
"127",4130,0.934226
"128",4135,0.948724
"129",4140,0.962667
"130",4145,0.955645
"131",4150,0.951723
"132",4155,0.953204
"133",4160,0.971914
"134",4165,0.972418
"135",4170,0.941209
"136",4175,0.912364
"137",4180,0.918541
"138",4185,0.931304
"139",4190,0.941053
"140",4195,0.926984
"141",4200,0.896026
"142",4205,0.925395
"143",4210,0.969806
"144",4215,0.965363
"145",4220,0.943807
"146",4225,0.890161
"147",4230,0.884927
"148",4235,0.904843
"149",4240,0.903273
"150",4245,0.903347
"151",4250,0.898881
"152",4255,0.901486
"153",4260,0.893099
"154",4265,0.889746
"155",4270,0.864639
"156",4275,0.867132
"157",4280,0.88545
"158",4285,0.862459
"159",4290,0.820249
"160",4295,0.772477
"161",4300,0.682099
"162",4305,0.632226
"163",4310,0.666238
"164",4315,0.828156
"165",4320,0.945114
"166",4325,0.936623
"167",4330,0.937426
"168",4335,0.894738
"169",4340,0.838647
"170",4345,0.883416
"171",4350,0.934163
"172",4355,0.955235
"173",4360,0.980021
"174",4365,0.99163
"175",4370,0.969696
"176",4375,0.943423
"177",4380,0.914485
"178",4385,0.891079
"179",4390,0.915341
"180",4395,0.938872
"181",4400,0.948515
"182",4405,0.956218
"183",4410,0.98137
"184",4415,1.010162
"185",4420,1.019786
"186",4425,1.030997
"187",4430,1.029902
"188",4435,1.017404
"189",4440,1.030164
"190",4445,1.043015
"191",4450,1.047192
"192",4455,1.001289
"193",4460,0.97251
"194",4465,1.000487
"195",4470,1.037758
"196",4475,1.072203
"197",4480,1.06837
"198",4485,1.068554
"199",4490,1.065157
"200",4495,1.078518
"201",4500,1.096802
"202",4505,1.119643
"203",4510,1.132944
"204",4515,1.109466
"205",4520,1.089205
"206",4525,1.037566
"207",4530,0.996648
"208",4535,1.025018
"209",4540,1.068878
"210",4545,1.054822
"211",4550,1.036202
"212",4555,1.057336
"213",4560,1.092245
"214",4565,1.093351
"215",4570,1.089452
"216",4575,1.088515
"217",4580,1.078417
"218",4585,1.073357
"219",4590,1.077888
"220",4595,1.072299
"221",4600,1.06769
"222",4605,1.086007
"223",4610,1.103391
"224",4615,1.090358
"225",4620,1.088688
"226",4625,1.094373
"227",4630,1.096092
"228",4635,1.087933
"229",4640,1.080984
"230",4645,1.074593
"231",4650,1.067275
"232",4655,1.075668
"233",4660,1.092823
"234",4665,1.068455
"235",4670,1.045111
"236",4675,1.067898
"237",4680,1.074207
"238",4685,1.082745
"239",4690,1.086432
"240",4695,1.092522
"241",4700,1.062659
"242",4705,1.040753
"243",4710,1.050487
"244",4715,1.083361
"245",4720,1.106223
"246",4725,1.087704
"247",4730,1.05439
"248",4735,1.059884
"249",4740,1.089295
"250",4745,1.106982
"251",4750,1.103905
"252",4755,1.084065
"253",4760,1.065358
"254",4765,1.056888
"255",4770,1.077552
"256",4775,1.100599
"257",4780,1.101857
"258",4785,1.081534
"259",4790,1.074558
"260",4795,1.101086
"261",4800,1.104155
"262",4805,1.103154
"263",4810,1.090455
"264",4815,1.107686
"265",4820,1.109465
"266",4825,1.096987
"267",4830,1.077956
"268",4835,1.063887
"269",4840,1.067312
"270",4845,1.080608
"271",4850,1.076405
"272",4855,0.998541
"273",4860,0.893224
"274",4865,0.919757
"275",4870,0.995912
"276",4875,1.028558
"277",4880,1.047714
"278",4885,1.025564
"279",4890,1.007694
"280",4895,1.055208
"281",4900,1.092895
"282",4905,1.080618
"283",4910,1.063326
"284",4915,1.042157
"285",4920,1.012221
"286",4925,1.038684
"287",4930,1.077381
"288",4935,1.055151
"289",4940,1.05031
"290",4945,1.077741
"291",4950,1.085239
"292",4955,1.066753
"293",4960,1.066683
"294",4965,1.083106
"295",4970,1.077265
"296",4975,1.067003
"297",4980,1.025365
"298",4985,1.020631
"299",4990,1.050434
"300",4995,1.047989
"301",5000,1.039396
"302",5005,1.029382
"303",5010,1.01839
"304",5015,0.99627
"305",5020,1.007473
"306",5025,1.035503
"307",5030,1.053394
"308",5035,1.029637
"309",5040,0.999521
"310",5045,1.027207
"311",5050,1.040979
