"","angstrom","value"
"1",3500,0.212577
"2",3505,0.223744
"3",3510,0.222728
"4",3515,0.208963
"5",3520,0.194706
"6",3525,0.192007
"7",3530,0.199256
"8",3535,0.211135
"9",3540,0.221136
"10",3545,0.223229
"11",3550,0.21447
"12",3555,0.195662
"13",3560,0.179523
"14",3565,0.175733
"15",3570,0.169926
"16",3575,0.149935
"17",3580,0.136449
"18",3585,0.150624
"19",3590,0.182648
"20",3595,0.215287
"21",3600,0.23257
"22",3605,0.239871
"23",3610,0.228949
"24",3615,0.233135
"25",3620,0.248192
"26",3625,0.264076
"27",3630,0.275711
"28",3635,0.281126
"29",3640,0.287269
"30",3645,0.302331
"31",3650,0.322618
"32",3655,0.342381
"33",3660,0.359126
"34",3665,0.368741
"35",3670,0.369363
"36",3675,0.361809
"37",3680,0.349755
"38",3685,0.341245
"39",3690,0.342449
"40",3695,0.35383
"41",3700,0.429835
"42",3705,0.460433
"43",3710,0.465827
"44",3715,0.441203
"45",3720,0.39972
"46",3725,0.362075
"47",3730,0.341802
"48",3735,0.338044
"49",3740,0.339554
"50",3745,0.33633
"51",3750,0.329743
"52",3755,0.331507
"53",3760,0.352567
"54",3765,0.392236
"55",3770,0.43577
"56",3775,0.462497
"57",3780,0.459562
"58",3785,0.43046
"59",3790,0.391183
"60",3795,0.358715
"61",3800,0.34026
"62",3805,0.291201
"63",3810,0.337034
"64",3815,0.372418
"65",3820,0.317255
"66",3825,0.296946
"67",3830,0.266917
"68",3835,0.212982
"69",3840,0.255342
"70",3845,0.235666
"71",3850,0.267353
"72",3855,0.345122
"73",3860,0.357553
"74",3865,0.303077
"75",3870,0.290964
"76",3875,0.320683
"77",3880,0.351235
"78",3885,0.417213
"79",3890,0.449305
"80",3895,0.411179
"81",3900,0.417477
"82",3905,0.481334
"83",3910,0.508251
"84",3915,0.452897
"85",3920,0.392956
"86",3925,0.35191
"87",3930,0.278909
"88",3935,0.262759
"89",3940,0.241031
"90",3945,0.248054
"91",3950,0.29862
"92",3955,0.351064
"93",3960,0.389985
"94",3965,0.408324
"95",3970,0.342035
"96",3975,0.296793
"97",3980,0.359041
"98",3985,0.452252
"99",3990,0.495359
"100",3995,0.588573
"101",4000,0.685147
"102",4005,0.67277
"103",4010,0.621532
"104",4015,0.643141
"105",4020,0.688037
"106",4025,0.683188
"107",4030,0.658198
"108",4035,0.661169
"109",4040,0.672444
"110",4045,0.661172
"111",4050,0.649318
"112",4055,0.655988
"113",4060,0.663357
"114",4065,0.675322
"115",4070,0.645822
"116",4075,0.603681
"117",4080,0.65579
"118",4085,0.719558
"119",4090,0.693998
"120",4095,0.665111
"121",4100,0.667747
"122",4105,0.656894
"123",4110,0.636707
"124",4115,0.638715
"125",4120,0.665581
"126",4125,0.692028
"127",4130,0.689857
"128",4135,0.656681
"129",4140,0.621206
"130",4145,0.613956
"131",4150,0.630972
"132",4155,0.632485
"133",4160,0.627461
"134",4165,0.647947
"135",4170,0.67065
"136",4175,0.649973
"137",4180,0.64301
