"","angstrom","value"
"1",3500,0.190989
"2",3505,0.196665
"3",3510,0.194065
"4",3515,0.184828
"5",3520,0.176557
"6",3525,0.176778
"7",3530,0.186769
"8",3535,0.203836
"9",3540,0.215668
"10",3545,0.211675
"11",3550,0.197787
"12",3555,0.182447
"13",3560,0.167628
"14",3565,0.153567
"15",3570,0.140027
"16",3575,0.127854
"17",3580,0.122686
"18",3585,0.130122
"19",3590,0.150811
"20",3595,0.180787
"21",3600,0.202568
"22",3605,0.178882
"23",3610,0.158711
"24",3615,0.160998
"25",3620,0.165029
"26",3625,0.173657
"27",3630,0.18775
"28",3635,0.206055
"29",3640,0.226673
"30",3645,0.248262
"31",3650,0.269651
"32",3655,0.288497
"33",3660,0.301096
"34",3665,0.304518
"35",3670,0.299772
"36",3675,0.292652
"37",3680,0.290697
"38",3685,0.29802
"39",3690,0.311387
"40",3695,0.319118
"41",3700,0.312962
"42",3705,0.291377
"43",3710,0.259657
"44",3715,0.228815
"45",3720,0.20747
"46",3725,0.197163
"47",3730,0.193472
"48",3735,0.190704
"49",3740,0.186732
"50",3745,0.184841
"51",3750,0.190932
"52",3755,0.207817
"53",3760,0.231864
"54",3765,0.25408
"55",3770,0.264899
"56",3775,0.260158
"57",3780,0.244476
"58",3785,0.228298
"59",3790,0.220625
"60",3795,0.222698
"61",3800,0.226956
"62",3805,0.222492
"63",3810,0.204082
"64",3815,0.177469
"65",3820,0.155618
"66",3825,0.149675
"67",3830,0.161486
"68",3835,0.182692
"69",3840,0.20094
"70",3845,0.207888
"71",3850,0.203206
"72",3855,0.193008
"73",3860,0.185061
"74",3865,0.184247
"75",3870,0.191038
"76",3875,0.203157
"77",3880,0.216988
"78",3885,0.228871
"79",3890,0.236526
"80",3895,0.240406
"81",3900,0.24391
"82",3905,0.250059
"83",3910,0.25698
"84",3915,0.257066
"85",3920,0.241918
"86",3925,0.210696
"87",3930,0.17553
"88",3935,0.156651
"89",3940,0.169006
"90",3945,0.209724
"91",3950,0.256718
"92",3955,0.282065
"93",3960,0.273381
"94",3965,0.244509
"95",3970,0.225401
"96",3975,0.241245
"97",3980,0.295722
"98",3985,0.369239
"99",3990,0.433941
"100",3995,0.47345
"101",4000,0.490178
"102",4005,0.498008
"103",4010,0.509016
"104",4015,0.524404
"105",4020,0.536102
"106",4025,0.536505
"107",4030,0.525649
"108",4035,0.510466
"109",4040,0.498834
"110",4045,0.493914
"111",4050,0.493395
"112",4055,0.493258
"113",4060,0.491427
"114",4065,0.488827
"115",4070,0.488097
"116",4075,0.491501
"117",4080,0.499667
"118",4085,0.511228
"119",4090,0.522586
"120",4095,0.529022
"121",4100,0.527133
"122",4105,0.51739
"123",4110,0.504852
"124",4115,0.496114
"125",4120,0.494392
"126",4125,0.497022
"127",4130,0.497373
"128",4135,0.490154
"129",4140,0.476303
"130",4145,0.462573
"131",4150,0.456484
"132",4155,0.460921
"133",4160,0.472513
"134",4165,0.484672
"135",4170,0.492408
"136",4175,0.494694
"137",4180,0.493239
"138",4185,0.490452
"139",4190,0.488615
"140",4195,0.490399
"141",4200,0.49901
"142",4205,0.515732
"143",4210,0.537173
"144",4215,0.555642
"145",4220,0.563572
"146",4225,0.559646
"147",4230,0.551521
"148",4235,0.550294
"149",4240,0.560907
"150",4245,0.577549
"151",4250,0.587475
"152",4255,0.58106
"153",4260,0.561166
"154",4265,0.542194
"155",4270,0.53852
"156",4275,0.552366
"157",4280,0.570298
"158",4285,0.571738
"159",4290,0.545069
"160",4295,0.498906
"161",4300,0.457944
"162",4305,0.447807
"163",4310,0.479011
"164",4315,0.539928
"165",4320,0.604215
"166",4325,0.648435
"167",4330,0.665651
"168",4335,0.665959
"169",4340,0.66638
"170",4345,0.677855
"171",4350,0.698201
"172",4355,0.716183
"173",4360,0.721848
"174",4365,0.713439
"175",4370,0.697058
"176",4375,0.680554
"177",4380,0.667156
"178",4385,0.655338
"179",4390,0.643956
"180",4395,0.63619
"181",4400,0.638097
"182",4405,0.652669
"183",4410,0.674924
"184",4415,0.694246
"185",4420,0.702819
"186",4425,0.70216
"187",4430,0.701869
"188",4435,0.710869
"189",4440,0.727934
"190",4445,0.741557
"191",4450,0.740698
"192",4455,0.725945
"193",4460,0.711492
"194",4465,0.715204
"195",4470,0.743066
"196",4475,0.782913
"197",4480,0.814335
"198",4485,0.82491
"199",4490,0.819702
"200",4495,0.816598
"201",4500,0.82995
"202",4505,0.857054
"203",4510,0.8801
"204",4515,0.880401
"205",4520,0.853175
"206",4525,0.811928
"207",4530,0.778204
"208",4535,0.765777
"209",4540,0.773767
"210",4545,0.791271
"211",4550,0.807339
"212",4555,0.818286
"213",4560,0.826876
"214",4565,0.83572
"215",4570,0.84301
"216",4575,0.844095
"217",4580,0.83654
"218",4585,0.824113
"219",4590,0.815814
"220",4595,0.820318
"221",4600,0.840686
"222",4605,0.872771
"223",4610,0.907146
"224",4615,0.933054
"225",4620,0.94269
"226",4625,0.934251
"227",4630,0.912394
"228",4635,0.886155
"229",4640,0.864969
"230",4645,0.854355
"231",4650,0.853505
"232",4655,0.856874
"233",4660,0.858807
"234",4665,0.85737
"235",4670,0.854854
"236",4675,0.854809
"237",4680,0.857967
"238",4685,0.861303
"239",4690,0.861214
"240",4695,0.857417
"241",4700,0.854027
"242",4705,0.856735
"243",4710,0.868071
"244",4715,0.884891
"245",4720,0.900647
"246",4725,0.910076
"247",4730,0.912442
"248",4735,0.911011
"249",4740,0.909402
"250",4745,0.908561
"251",4750,0.90715
"252",4755,0.904289
"253",4760,0.901653
"254",4765,0.902883
"255",4770,0.910488
"256",4775,0.923359
"257",4780,0.937348
"258",4785,0.948232
"259",4790,0.954459
"260",4795,0.957578
"261",4800,0.959957
"262",4805,0.962011
"263",4810,0.962132
"264",4815,0.958808
"265",4820,0.952698
"266",4825,0.946727
"267",4830,0.94365
"268",4835,0.942795
"269",4840,0.939791
"270",4845,0.929445
"271",4850,0.909693
"272",4855,0.883942
"273",4860,0.85977
"274",4865,0.84463
"275",4870,0.84233
"276",4875,0.852271
"277",4880,0.870953
"278",4885,0.894134
"279",4890,0.917875
"280",4895,0.938062
"281",4900,0.950165
"282",4905,0.95075
"283",4910,0.939802
"284",4915,0.922123
"285",4920,0.906187
"286",4925,0.900052
"287",4930,0.907116
"288",4935,0.924855
"289",4940,0.946686
"290",4945,0.965486
"291",4950,0.976634
"292",4955,0.978778
"293",4960,0.973096
"294",4965,0.962442
"295",4970,0.950618
"296",4975,0.941277
"297",4980,0.935987
"298",4985,0.932681
"299",4990,0.926555
"300",4995,0.913722
"301",5000,0.895031
"302",5005,0.876916
"303",5010,0.867349
"304",5015,0.869216
"305",5020,0.877711
"306",5025,0.884181
"307",5030,0.883436
"308",5035,0.878909
"309",5040,0.880475
"310",5045,0.895446
"311",5050,0.921024
"312",5055,0.945042
"313",5060,0.954338
"314",5065,0.944957
"315",5070,0.926087
"316",5075,0.912746
"317",5080,0.914346
"318",5085,0.928557
"319",5090,0.944031
"320",5095,0.949771
"321",5100,0.944055
"322",5105,0.934211
"323",5110,0.928452
"324",5115,0.928365
"325",5120,0.927922
"326",5125,0.919542
"327",5130,0.902295
"328",5135,0.884138
"329",5140,0.875132
"330",5145,0.878401
"331",5150,0.886111
"332",5155,0.884075
"333",5160,0.862937
"334",5165,0.827175
"335",5170,0.793245
"336",5175,0.779095
"337",5180,0.792569
"338",5185,0.826267
"339",5190,0.862949
"340",5195,0.887908
"341",5200,0.897453
"342",5205,0.897913
"343",5210,0.898151
"344",5215,0.902125
"345",5220,0.907696
"346",5225,0.911999
"347",5230,0.916384
"348",5235,0.925262
"349",5240,0.940289
"350",5245,0.955349
"351",5250,0.958414
"352",5255,0.941107
"353",5260,0.907799
"354",5265,0.874995
"355",5270,0.861423
"356",5275,0.875502
"357",5280,0.909398
"358",5285,0.945615
"359",5290,0.969988
"360",5295,0.980038
"361",5300,0.983656
"362",5305,0.989843
"363",5310,0.999017
"364",5315,1.002636
"365",5320,0.992194
"366",5325,0.968709
"367",5330,0.944676
"368",5335,0.936337
"369",5340,0.951305
"370",5345,0.981977
"371",5350,1.0109
"372",5355,1.022924
"373",5360,1.01513
"374",5365,0.997723
"375",5370,0.984762
"376",5375,0.982424
"377",5380,0.985512
"378",5385,0.983142
"379",5390,0.968473
"380",5395,0.945468
"381",5400,0.927029
"382",5405,0.924978
"383",5410,0.941179
"384",5415,0.966204
"385",5420,0.98573
"386",5425,0.99039
"387",5430,0.982269
"388",5435,0.972543
"389",5440,0.972463
"390",5445,0.98534
"391",5450,1.00426
"392",5455,1.016791
"393",5460,1.014113
"394",5465,0.997605
"395",5470,0.977545
"396",5475,0.965957
"397",5480,0.968732
"398",5485,0.982078
"399",5490,0.995986
"400",5495,1.002252
"401",5500,0.999717
"402",5505,0.993631
"403",5510,0.990584
"404",5515,0.993081
"405",5520,0.998376
"406",5525,1.002259
"407",5530,1.003485
"408",5535,1.00457
"409",5540,1.00897
"410",5545,1.017331
"411",5550,1.026336
"412",5555,1.031738
"413",5560,1.031718
"414",5565,1.027444
"415",5570,1.020877
"416",5575,1.012205
"417",5580,1.00009
"418",5585,0.984987
"419",5590,0.971513
"420",5595,0.966494
"421",5600,0.974008
"422",5605,0.991229
"423",5610,1.009205
"424",5615,1.019361
"425",5620,1.019776
"426",5625,1.015797
"427",5630,1.014904
"428",5635,1.019717
"429",5640,1.025048
"430",5645,1.022704
"431",5650,1.009171
"432",5655,0.989401
"433",5660,0.974109
"434",5665,0.972372
"435",5670,0.984811
"436",5675,1.003215
"437",5680,1.016614
"438",5685,1.018094
"439",5690,1.008201
"440",5695,0.993537
"441",5700,0.982176
"442",5705,0.979896
"443",5710,0.988658
"444",5715,1.006736
"445",5720,1.029381
"446",5725,1.049776
"447",5730,1.06094
"448",5735,1.05893
"449",5740,1.045523
"450",5745,1.028035
"451",5750,1.015646
"452",5755,1.014051
"453",5760,1.021931
"454",5765,1.031987
"455",5770,1.036111
"456",5775,1.030544
"457",5780,1.017911
"458",5785,1.005233
"459",5790,0.999382
"460",5795,1.003215
"461",5800,1.015036
"462",5805,1.030691
"463",5810,1.046316
"464",5815,1.060041
"465",5820,1.071791
"466",5825,1.081443
"467",5830,1.08736
"468",5835,1.086867
"469",5840,1.078617
"470",5845,1.065268
"471",5850,1.053978
"472",5855,1.052714
"473",5860,1.063776
"474",5865,1.079963
"475",5870,1.08675
"476",5875,1.070654
"477",5880,1.029912
"478",5885,0.978459
"479",5890,0.938722
"480",5895,0.928315
"481",5900,0.949419
"482",5905,0.987675
"483",5910,1.022093
"484",5915,1.03905
"485",5920,1.038753
"486",5925,1.031363
"487",5930,1.027476
"488",5935,1.030263
"489",5940,1.035331
"490",5945,1.037347
"491",5950,1.035814
"492",5955,1.0349
"493",5960,1.038679
"494",5965,1.04628
"495",5970,1.051722
"496",5975,1.049348
"497",5980,1.03899
"498",5985,1.026278
"499",5990,1.01816
"500",5995,1.017145
"501",6000,1.01923
"502",6005,1.017741
"503",6010,1.0095
"504",6015,0.998036
"505",6020,0.991492
"506",6025,0.996603
"507",6030,1.01317
"508",6035,1.033783
"509",6040,1.049067
"510",6045,1.053788
"511",6050,1.049702
"512",6055,1.043421
"513",6060,1.040706
"514",6065,1.042017
"515",6070,1.043032
"516",6075,1.038741
"517",6080,1.027711
"518",6085,1.013489
"519",6090,1.001908
"520",6095,0.996771
"521",6100,0.997675
"522",6105,1.001126
"523",6110,1.003291
"524",6115,1.002278
"525",6120,0.998565
"526",6125,0.993664
"527",6130,0.988841
"528",6135,0.984825
"529",6140,0.982035
"530",6145,0.980733
"531",6150,0.980863
"532",6155,0.981654
"533",6160,0.982117
"534",6165,0.981949
"535",6170,0.982133
"536",6175,0.984693
"537",6180,0.991452
"538",6185,1.002411
"539",6190,1.015115
"540",6195,1.025282
"541",6200,1.028553
"542",6205,1.022676
"543",6210,1.009047
"544",6215,0.992668
"545",6220,0.979867
"546",6225,0.97508
"547",6230,0.978395
"548",6235,0.98536
"549",6240,0.989738
"550",6245,0.987696
"551",6250,0.980135
"552",6255,0.971822
"553",6260,0.968015
"554",6265,0.970803
"555",6270,0.977822
"556",6275,0.984234
"557",6280,0.986225
"558",6285,0.983318
"559",6290,0.978122
"560",6295,0.974079
"561",6300,0.973133
"562",6305,0.974762
"563",6310,0.97729
"564",6315,0.979623
"565",6320,0.98217
"566",6325,0.98625
"567",6330,0.992253
"568",6335,0.998468
"569",6340,1.001793
"570",6345,1.000157
"571",6350,0.994782
"572",6355,0.990463
"573",6360,0.993045
"574",6365,1.004943
"575",6370,1.022605
"576",6375,1.03798
"577",6380,1.043174
"578",6385,1.035625
"579",6390,1.020248
"580",6395,1.005702
"581",6400,0.998266
"582",6405,0.997972
"583",6410,0.999509
"584",6415,0.997236
"585",6420,0.990557
"586",6425,0.984564
"587",6430,0.985265
"588",6435,0.993817
"589",6440,1.004504
"590",6445,1.00829
"591",6450,0.999918
"592",6455,0.982934
"593",6460,0.967186
"594",6465,0.961617
"595",6470,0.967632
"596",6475,0.977642
"597",6480,0.980693
"598",6485,0.971563
"599",6490,0.954992
"600",6495,0.942101
"601",6500,0.942104
"602",6505,0.955247
"603",6510,0.97261
"604",6515,0.983405
"605",6520,0.983247
"606",6525,0.9766
"607",6530,0.972175
"608",6535,0.974855
"609",6540,0.980593
"610",6545,0.97944
"611",6550,0.964339
"612",6555,0.937846
"613",6560,0.912034
"614",6565,0.901251
"615",6570,0.912061
"616",6575,0.93845
"617",6580,0.96605
"618",6585,0.981267
"619",6590,0.979182
"620",6595,0.965604
"621",6600,0.952082
"622",6605,0.947565
"623",6610,0.953438
"624",6615,0.964077
"625",6620,0.971469
"626",6625,0.970677
"627",6630,0.962724
"628",6635,0.953335
"629",6640,0.948797
"630",6645,0.952086
"631",6650,0.961238
"632",6655,0.970703
"633",6660,0.975013
"634",6665,0.972313
"635",6670,0.965234
"636",6675,0.958871
"637",6680,0.957335
"638",6685,0.961052
"639",6690,0.966762
"640",6695,0.970341
"641",6700,0.96997
"642",6705,0.966903
"643",6710,0.963763
"644",6715,0.961976
"645",6720,0.960622
"646",6725,0.957985
"647",6730,0.954073
"648",6735,0.951125
"649",6740,0.951753
"650",6745,0.956223
"651",6750,0.961361
"652",6755,0.962913
"653",6760,0.959296
"654",6765,0.95323
"655",6770,0.949859
"656",6775,0.952555
"657",6780,0.959733
"658",6785,0.966086
"659",6790,0.96693
"660",6795,0.96202
"661",6800,0.956013
"662",6805,0.955103
"663",6810,0.962158
"664",6815,0.974379
"665",6820,0.985209
"666",6825,0.988511
"667",6830,0.982215
"668",6835,0.969413
"669",6840,0.956302
"670",6845,0.948208
"671",6850,0.946602
"672",6855,0.94859
"673",6860,0.948949
"674",6865,0.943697
"675",6870,0.933214
"676",6875,0.922361
"677",6880,0.917124
"678",6885,0.920379
"679",6890,0.929602
"680",6895,0.938203
"681",6900,0.940134
"682",6905,0.934292
"683",6910,0.924836
"684",6915,0.91762
"685",6920,0.915911
"686",6925,0.918509
"687",6930,0.921633
"688",6935,0.922855
"689",6940,0.923117
"690",6945,0.925185
"691",6950,0.930546
"692",6955,0.937457
"693",6960,0.941848
"694",6965,0.940661
"695",6970,0.933975
"696",6975,0.924835
"697",6980,0.917309
"698",6985,0.914232
"699",6990,0.916197
"700",6995,0.92173
"701",7000,0.927961
"702",7005,0.931551
"703",7010,0.930009
"704",7015,0.923276
"705",7020,0.914676
"706",7025,0.909603
"707",7030,0.912119
"708",7035,0.921949
"709",7040,0.934009
"710",7045,0.941159
"711",7050,0.938867
"712",7055,0.928122
"713",7060,0.91432
"714",7065,0.903671
"715",7070,0.899759
"716",7075,0.902289
"717",7080,0.908477
"718",7085,0.915223
"719",7090,0.920339
"720",7095,0.922521
"721",7100,0.921156
"722",7105,0.916576
"723",7110,0.910437
"724",7115,0.905402
"725",7120,0.903566
"726",7125,0.905056
"727",7130,0.907887
"728",7135,0.909249
"729",7140,0.907525
"730",7145,0.903552
"731",7150,0.899944
"732",7155,0.899186
"733",7160,0.901917
"734",7165,0.906419
"735",7170,0.909521
"736",7175,0.908582
"737",7180,0.903028
"738",7185,0.89478
"739",7190,0.887325
"740",7195,0.883795
"741",7200,0.88502
"742",7205,0.888985
"743",7210,0.892198
"744",7215,0.891907
"745",7220,0.887748
"746",7225,0.881801
"747",7230,0.876932
"748",7235,0.87467
"749",7240,0.874444
"750",7245,0.874542
"751",7250,0.873724
"752",7255,0.872273
"753",7260,0.871729
"754",7265,0.873516
"755",7270,0.877787
"756",7275,0.883335
"757",7280,0.888382
"758",7285,0.891677
"759",7290,0.893212
"760",7295,0.893918
"761",7300,0.894673
"762",7305,0.895362
"763",7310,0.894712
"764",7315,0.891128
"765",7320,0.884233
"766",7325,0.876077
"767",7330,0.870551
"768",7335,0.8711
"769",7340,0.878193
"770",7345,0.888277
"771",7350,0.895453
"772",7355,0.895384
"773",7360,0.88811
"774",7365,0.877768
"775",7370,0.86974
"776",7375,0.867135
"777",7380,0.869071
"778",7385,0.872381
"779",7390,0.874519
"780",7395,0.875196
"781",7400,0.87572
"782",7405,0.876948
"783",7410,0.878045
"784",7415,0.877201
"785",7420,0.873844
"786",7425,0.869669
"787",7430,0.867682
"788",7435,0.869826
"789",7440,0.874795
"790",7445,0.878459
"791",7450,0.876892
"792",7455,0.869538
"793",7460,0.860327
"794",7465,0.855684
"795",7470,0.860064
"796",7475,0.872125
"797",7480,0.884996
"798",7485,0.890541
"799",7490,0.884858
"800",7495,0.871337
"801",7500,0.858484
